"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"2352","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУГАНСЬКЕ ЛІСОМИСЛИВСЬКЕ ГОСПОДАРСТВО""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2353","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАКАРПАТЛІССЕРВІС""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2354","ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ЛІСОЗАХИСНЕ ПІДПРИЄМСТВО ""КРИМЛІСОЗАХИСТ""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2355","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДІБРОВА""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2356","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЕРСОНСЬКЕ ЛІСОМИСЛИВСЬКЕ ГОСПОДАРСТВО""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2357","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2358","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУГАНСЬКЛІССЕРВІС""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2359","ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ЛІСОЗАХИСНЕ ПІДПРИЄМСТВО ""ЛЬВІВЛІСОЗАХИСТ""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2360","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЕРСОНСЬКЕ ОБЛАСНЕ АГРОЛІСОМЕЛІОРАТИВНЕ ПІДПРИЄМСТВО ""ХЕРСОНАГРОЛІС""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2361","ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""ЛІСИ УКРАЇНИ""","37064","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2362","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНА КІНОСТУДІЯ ХУДОЖНІХ ФІЛЬМІВ ІМЕНІ ОЛЕКСАНДРА ДОВЖЕНКА""","37098","ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З ПИТАНЬ КІНО","ДП"
"2363","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНА КІНЕМАТЕКА УКРАЇНИ""","37098","ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З ПИТАНЬ КІНО","ДП"
"2364","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНИЙ ЦЕНТР ОЛЕКСАНДРА ДОВЖЕНКА""","37098","ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З ПИТАНЬ КІНО","ДП"
"2365","НАВЧАЛЬНИЙ ЦЕНТР ПО ПІДГОТОВЦІ, ПЕРЕПІДГОТОВЦІ ТА ПІДВИЩЕННЮ КВАЛІФІКАЦІЇ КАДРІВ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2366","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНИЙ ІНСТИТУТ РОЗВИТКУ ІНФРАСТРУКТУРИ""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2367","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЖИТОМИРСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2368","ДЕРЖАВНЕ ПІДПРИЄМСТВО -УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ІНСТИТУТ З ПРОЕКТУВАННЯ ОБ'ЄКТІВ ДОРОЖНЬОГО ГОСПОДАРСТВА ""УКРДІПРОДОР""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2369","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЧЕРКАСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2370","ДЕРЖАВНЕ ПІДПРИЄМСТВО -УКРАЇНСЬКА ГОЛОВНА МОСТОВИПРОБУВАЛЬНА СТАНЦІЯ ПО ЕКСПЕРТИЗІ ТА НАГЛЯДУ ЗА ТЕХНІЧНИМ СТАНОМ МОСТОВИХ СПОРУД ""УКРГОЛОВМОСТОЕКСПЕРТИЗА""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2371","УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ІНСТИТУТ ПО ПРОЕКТУВАННЮ БУДІВНИЦТВА МОСТІВ, ОБ""ЄКТІВ ВИРОБНИЧОЇ БАЗИ МОСТОБУДУВАННЯ І КОНСТРУЮВАННЯ МОСТОБУДІВЕЛЬНОГО УСТАТКУВАННЯ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2372","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОРОЖНІЙ НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2373","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКЕ НАУКОВО-ДОСЛІДНЕ ПІДПРИЄМСТВО ""ВІДНОВЛЕННЯ""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2374","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2375","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У СУМСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2376","СЛУЖБА АВТОМОБІЛЬНИХ ДОРІГ В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2377","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У КІРОВОГРАДСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2378","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЛЬВІВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2379","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЗАКАРПАТСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2380","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ В ІВАНО-ФРАНКІВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2381","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ В ОДЕСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2382","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2383","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ВІННИЦЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2384","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2385","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2386","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ТЕРНОПІЛЬСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2387","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЗАПОРІЗЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2388","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У РІВНЕНСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2389","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ПОЛТАВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2390","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ХЕРСОНСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2391","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЧЕРНІГІВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2392","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЛУГАНСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2393","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ВОЛИНСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2394","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ДОНЕЦЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2395","СЛУЖБА АВТОМОБІЛЬНИХ ДОРІГ У М. СЕВАСТОПОЛІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2396","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У КИЇВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2397","СЛУЖБА ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ХАРКІВСЬКІЙ ОБЛАСТІ","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2398","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГРУПА УПРАВЛІННЯ ПРОЕКТАМИ ВІДНОВЛЕННЯ""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2399","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДИРЕКЦІЯ З БУДІВНИЦТВА ОБ'ЄКТІВ ДО ЄВРО 2012 У М.ЛЬВОВІ""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2400","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ФІНАНСУВАННЯ ІНФРАСТРУКТУРНИХ ПРОЕКТІВ""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2401","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВІДНОВЛЕННЯ КРИТИЧНОЇ ІНФРАСТРУКТУРИ""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2402","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНФРАСТРУКТУРНІ ПРОЕКТИ""","37304","ДЕРЖАВНЕ АГЕНТСТВО ВІДНОВЛЕННЯ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ УКРАЇНИ","ДП"
"2403","САКСЬКИЙ ДЕРЖАВНИЙ ХІМІЧНИЙ ЗАВОД","37427842","РЕСПУБЛІКАНСЬКИЙ КОМІТЕТ АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ З ПАЛИВА, ЕНЕРГЕТИКИ ТА ІННОВАЦІЙНОЇ ПОЛІТИКИ","ДП"
"2404","ДЕРЖАВНИЙ РЕГІОНАЛЬНИЙ ПРОЕКТНО-ВИШУКУВАЛЬНИЙ ІНСТИТУТ ""УКРПIВДЕНДIПРОВОДГОСП""","38094","ДЕРЖАВНЕ АГЕНТСТВО ВОДНИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2405","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРВОДСЕРВІС""","38094","ДЕРЖАВНЕ АГЕНТСТВО ВОДНИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2406","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОДЕСЬКА ОБ""ЄДНАНА ДИРЕКЦІЯ БУДІВНИЦТВА ВОДОГОСПОДАРСЬКИХ ОБ""ЄКТІВ","38094","ДЕРЖАВНЕ АГЕНТСТВО ВОДНИХ РЕСУРСІВ УКРАЇНИ","ДП"
"2407","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПІДТРИМКА АГРАРНИХ ПРОЄКТІВ""","38194","ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З РОЗВИТКУ МЕЛІОРАЦІЇ, РИБНОГО ГОСПОДАРСТВА ТА ПРОДОВОЛЬЧИХ ПРОГРАМ","ДП"
"2408","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОДЕСЬКИЙ ЦЕНТР ПІВДЕННОГО НАУКОВО-ДОСЛІДНОГО ІНСТИТУТУ МОРСЬКОГО РИБНОГО ГОСПОДАРСТВА ТА ОКЕАНОГРАФІЇ""","38194","ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З РОЗВИТКУ МЕЛІОРАЦІЇ, РИБНОГО ГОСПОДАРСТВА ТА ПРОДОВОЛЬЧИХ ПРОГРАМ","ДП"
"2409","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АЙФІШ""","38194","ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З РОЗВИТКУ МЕЛІОРАЦІЇ, РИБНОГО ГОСПОДАРСТВА ТА ПРОДОВОЛЬЧИХ ПРОГРАМ","ДП"
"2410","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНА ТУРИСТИЧНА""","39094","ДЕРЖАВНЕ АГЕНТСТВО РОЗВИТКУ ТУРИЗМУ УКРАЇНИ","ДП"
"2411","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР З ЯДЕРНОЇ ТА РАДІАЦІЙНОЇ БЕЗПЕКИ""","49544","ДЕРЖАВНА ІНСПЕКЦІЯ ЯДЕРНОГО РЕГУЛЮВАННЯ УКРАЇНИ","ДП"
"2412","ДЕРЖАВНА УСТАНОВА ""АГЕНТСТВО З РОЗВИТКУ ІНФРАСТРУКТУРИ ФОНДОВОГО РИНКУ УКРАЇНИ""","57434","НАЦІОНАЛЬНА КОМІСІЯ З ЦІННИХ ПАПЕРІВ ТА ФОНДОВОГО РИНКУ","ДП"
"2413","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""САНАТОРІЙ ""КОНЧА-ЗАСПА""","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
"2414","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""САНАТОРІЙ ""КРИШТАЛЕВИЙ ПАЛАЦ""","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
"2415","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНИЙ ПАЛАЦ МИСТЕЦТВ ""УКРАЇНА""","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
"2416","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""САНАТОРІЙ ""ЗОРІ УКРАЇНИ""","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
"2417","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""САНАТОРІЙ""ЗБРУЧ""","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
"2418","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГЕНЕРАЛЬНА ДИРЕКЦІЯ З ОБСЛУГОВУВАННЯ ІНОЗЕМНИХ ПРЕДСТАВНИЦТВ""","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
"2419","ДЕРЖАВНЕ ВИДАВНИЦТВО ""ПРЕСА УКРАЇНИ"" ДЕРЖАВНОГО УПРАВЛІННЯ СПРАВАМИ","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
"2420","ДЕРЖАВНЕ ПІДПРИЄМСТВО УКРАЇНИ ""МІЖНАРОДНИЙ ДИТЯЧИЙ ЦЕНТР ""АРТЕК""","57474","ДЕРЖАВНЕ УПРАВЛІННЯ СПРАВАМИ","ДП"
